,loss,precision,recall,accuracy,top_5_categorical_accuracy,top_4_categorical_accuracy,top_3_categorical_accuracy,top_2_categorical_accuracy,top_1_categorical_accuracy,val_loss,val_precision,val_recall,val_accuracy,val_top_5_categorical_accuracy,val_top_4_categorical_accuracy,val_top_3_categorical_accuracy,val_top_2_categorical_accuracy,val_top_1_categorical_accuracy
0,2.3190274238586426,0.0476190485060215,0.0002857142826542258,0.0,0.5825714468955994,0.4819999933242798,0.36657142639160156,0.25371429324150085,0.13257142901420593,2.2420036792755127,0.0,0.0,0.0,0.7486666440963745,0.6586666703224182,0.5333333611488342,0.38199999928474426,0.20600000023841858
1,2.018855094909668,0.6190476417541504,0.018571428954601288,0.0,0.7668571472167969,0.6905714273452759,0.5982857346534729,0.47028571367263794,0.2697142958641052,1.8641767501831055,1.0,0.006000000052154064,0.0,0.875333309173584,0.8299999833106995,0.7559999823570251,0.6606666445732117,0.41333332657814026
2,1.6570714712142944,0.6857671141624451,0.10599999874830246,0.0,0.87971431016922,0.8322857022285461,0.765999972820282,0.6588571667671204,0.43142858147621155,1.2230802774429321,0.8023032546043396,0.2786666750907898,0.0,0.9486666917800903,0.9266666769981384,0.8960000276565552,0.8180000185966492,0.5853333473205566
3,1.3108688592910767,0.7311977744102478,0.30000001192092896,0.0,0.9311428666114807,0.9014285802841187,0.8619999885559082,0.7794285416603088,0.5531428456306458,0.875420331954956,0.8373305797576904,0.5353333353996277,0.0,0.9626666903495789,0.9453333616256714,0.9206666946411133,0.8740000128746033,0.7086666822433472
4,1.0795146226882935,0.7782694101333618,0.4522857069969177,0.0,0.9594285488128662,0.9397143125534058,0.9051428437232971,0.8408571481704712,0.6485714316368103,0.6838037371635437,0.8810316324234009,0.7059999704360962,0.0,0.9693333506584167,0.9580000042915344,0.9386666417121887,0.8939999938011169,0.7873333096504211
5,0.9586858153343201,0.7952204346656799,0.5514285564422607,0.0,0.9617142677307129,0.9419999718666077,0.9148571491241455,0.8591428399085999,0.6980000138282776,0.7217819094657898,0.8213235139846802,0.7446666955947876,0.0,0.9706666469573975,0.9553333520889282,0.937333345413208,0.8880000114440918,0.7753333449363708
6,0.8454254269599915,0.8239786028862,0.6165714263916016,0.0,0.9700000286102295,0.9531428813934326,0.9291428327560425,0.8808571696281433,0.7325714230537415,1.7734723091125488,0.6813187003135681,0.5786666870117188,0.0,0.9133333563804626,0.8759999871253967,0.8233333230018616,0.7673333287239075,0.6259999871253967
7,0.7874009609222412,0.841066837310791,0.657714307308197,0.0,0.9691428542137146,0.9528571367263794,0.9308571219444275,0.8902857303619385,0.7605714201927185,1.4467926025390625,0.6376343965530396,0.39533331990242004,0.0,0.9333333373069763,0.8686666488647461,0.7866666913032532,0.6646666526794434,0.4880000054836273
8,0.7417919039726257,0.8573456406593323,0.6902857422828674,0.0,0.9745714068412781,0.9617142677307129,0.9385714530944824,0.8960000276565552,0.7808571457862854,0.656965434551239,0.8758465051651001,0.7760000228881836,0.0,0.9746666550636292,0.9526666402816772,0.9393333196640015,0.9166666865348816,0.8193333148956299
9,0.6880603432655334,0.8487021923065186,0.7099999785423279,0.0,0.9831428527832031,0.9711428284645081,0.9514285922050476,0.9137142896652222,0.7882857322692871,1.088136911392212,0.7634164690971375,0.6733333468437195,0.0,0.9586666822433472,0.9286666512489319,0.8960000276565552,0.8259999752044678,0.7086666822433472
