,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
90,2,3,18,0,True,"[[3, 18, 0], [3, 18, 0]]"
91,2,3,18,1,True,"[[3, 18, 1], [3, 18, 1]]"
92,2,3,18,2,True,"[[3, 18, 2], [3, 18, 2]]"
93,2,3,18,3,True,"[[3, 18, 3], [3, 18, 3]]"
94,2,3,18,4,True,"[[3, 18, 4], [3, 18, 4]]"
95,2,3,18,5,True,"[[3, 18, 5], [3, 18, 5]]"
96,2,3,21,0,True,"[[3, 21, 0], [3, 21, 0]]"
97,2,3,21,1,True,"[[3, 21, 1], [3, 21, 1]]"
98,2,3,21,2,True,"[[3, 21, 2], [3, 21, 2]]"
99,2,3,21,3,True,"[[3, 21, 3], [3, 21, 3]]"
100,2,3,21,4,True,"[[3, 21, 4], [3, 21, 4]]"
101,2,3,21,5,True,"[[3, 21, 5], [3, 21, 5]]"
102,2,3,25,0,True,"[[3, 25, 0], [3, 25, 0]]"
103,2,3,25,1,True,"[[3, 25, 1], [3, 25, 1]]"
104,2,3,25,2,True,"[[3, 25, 2], [3, 25, 2]]"
105,2,3,25,3,True,"[[3, 25, 3], [3, 25, 3]]"
106,2,3,25,4,True,"[[3, 25, 4], [3, 25, 4]]"
107,2,3,25,5,True,"[[3, 25, 5], [3, 25, 5]]"
108,2,4,4,0,True,"[[4, 4, 0], [4, 4, 0]]"
109,2,4,7,0,True,"[[4, 7, 0], [4, 7, 0]]"
110,2,4,7,1,True,"[[4, 7, 1], [4, 7, 1]]"
111,2,4,11,0,True,"[[4, 11, 0], [4, 11, 0]]"
112,2,4,11,1,True,"[[4, 11, 1], [4, 11, 1]]"
113,2,4,11,2,True,"[[4, 11, 2], [4, 11, 2]]"
114,2,4,14,0,True,"[[4, 14, 0], [4, 14, 0]]"
115,2,4,14,1,True,"[[4, 14, 1], [4, 14, 1]]"
116,2,4,14,2,True,"[[4, 14, 2], [4, 14, 2]]"
117,2,4,14,3,True,"[[4, 14, 3], [4, 14, 3]]"
118,2,4,18,0,True,"[[4, 18, 0], [4, 18, 0]]"
119,2,4,18,1,True,"[[4, 18, 1], [4, 18, 1]]"
120,2,4,18,2,True,"[[4, 18, 2], [4, 18, 2]]"
121,2,4,18,3,True,"[[4, 18, 3], [4, 18, 3]]"
122,2,4,18,4,True,"[[4, 18, 4], [4, 18, 4]]"
123,2,4,21,0,True,"[[4, 21, 0], [4, 21, 0]]"
124,2,4,21,1,True,"[[4, 21, 1], [4, 21, 1]]"
125,2,4,21,2,True,"[[4, 21, 2], [4, 21, 2]]"
126,2,4,21,3,True,"[[4, 21, 3], [4, 21, 3]]"
127,2,4,21,4,True,"[[4, 21, 4], [4, 21, 4]]"
128,2,4,21,5,True,"[[4, 21, 5], [4, 21, 5]]"
129,2,4,25,0,True,"[[4, 25, 0], [4, 25, 0]]"
130,2,4,25,1,True,"[[4, 25, 1], [4, 25, 1]]"
131,2,4,25,2,True,"[[4, 25, 2], [4, 25, 2]]"
132,2,4,25,3,True,"[[4, 25, 3], [4, 25, 3]]"
133,2,4,25,4,True,"[[4, 25, 4], [4, 25, 4]]"
134,2,4,25,5,True,"[[4, 25, 5], [4, 25, 5]]"
135,2,5,4,0,True,"[[5, 4, 0], [5, 4, 0]]"
136,2,5,7,0,True,"[[5, 7, 0], [5, 7, 0]]"
137,2,5,7,1,True,"[[5, 7, 1], [5, 7, 1]]"
138,2,5,11,0,True,"[[5, 11, 0], [5, 11, 0]]"
139,2,5,11,1,True,"[[5, 11, 1], [5, 11, 1]]"
140,2,5,11,2,True,"[[5, 11, 2], [5, 11, 2]]"
141,2,5,14,0,True,"[[5, 14, 0], [5, 14, 0]]"
142,2,5,14,1,True,"[[5, 14, 1], [5, 14, 1]]"
143,2,5,14,2,True,"[[5, 14, 2], [5, 14, 2]]"
144,2,5,18,0,True,"[[5, 18, 0], [5, 18, 0]]"
145,2,5,18,1,True,"[[5, 18, 1], [5, 18, 1]]"
146,2,5,18,2,True,"[[5, 18, 2], [5, 18, 2]]"
147,2,5,18,3,True,"[[5, 18, 3], [5, 18, 3]]"
148,2,5,21,0,True,"[[5, 21, 0], [5, 21, 0]]"
149,2,5,21,1,True,"[[5, 21, 1], [5, 21, 1]]"
150,2,5,21,2,True,"[[5, 21, 2], [5, 21, 2]]"
151,2,5,21,3,True,"[[5, 21, 3], [5, 21, 3]]"
152,2,5,21,4,True,"[[5, 21, 4], [5, 21, 4]]"
153,2,5,25,0,True,"[[5, 25, 0], [5, 25, 0]]"
154,2,5,25,1,True,"[[5, 25, 1], [5, 25, 1]]"
155,2,5,25,2,True,"[[5, 25, 2], [5, 25, 2]]"
156,2,5,25,3,True,"[[5, 25, 3], [5, 25, 3]]"
157,2,5,25,4,True,"[[5, 25, 4], [5, 25, 4]]"
158,2,6,4,0,True,"[[6, 4, 0], [6, 4, 0]]"
159,2,6,7,0,True,"[[6, 7, 0], [6, 7, 0]]"
160,2,6,7,1,True,"[[6, 7, 1], [6, 7, 1]]"
161,2,6,11,0,True,"[[6, 11, 0], [6, 11, 0]]"
162,2,6,11,1,True,"[[6, 11, 1], [6, 11, 1]]"
163,2,6,14,0,True,"[[6, 14, 0], [6, 14, 0]]"
164,2,6,14,1,True,"[[6, 14, 1], [6, 14, 1]]"
165,2,6,14,2,True,"[[6, 14, 2], [6, 14, 2]]"
166,2,6,18,0,True,"[[6, 18, 0], [6, 18, 0]]"
167,2,6,18,1,True,"[[6, 18, 1], [6, 18, 1]]"
168,2,6,18,2,True,"[[6, 18, 2], [6, 18, 2]]"
169,2,6,21,0,True,"[[6, 21, 0], [6, 21, 0]]"
170,2,6,21,1,True,"[[6, 21, 1], [6, 21, 1]]"
171,2,6,21,2,True,"[[6, 21, 2], [6, 21, 2]]"
172,2,6,21,3,True,"[[6, 21, 3], [6, 21, 3]]"
173,2,6,25,0,True,"[[6, 25, 0], [6, 25, 0]]"
174,2,6,25,1,True,"[[6, 25, 1], [6, 25, 1]]"
175,2,6,25,2,True,"[[6, 25, 2], [6, 25, 2]]"
176,2,6,25,3,True,"[[6, 25, 3], [6, 25, 3]]"
177,2,6,25,4,True,"[[6, 25, 4], [6, 25, 4]]"
178,2,7,4,0,True,"[[7, 4, 0], [7, 4, 0]]"
179,2,7,7,0,True,"[[7, 7, 0], [7, 7, 0]]"
180,2,7,11,0,True,"[[7, 11, 0], [7, 11, 0]]"
181,2,7,11,1,True,"[[7, 11, 1], [7, 11, 1]]"
182,2,7,14,0,True,"[[7, 14, 0], [7, 14, 0]]"
183,2,7,14,1,True,"[[7, 14, 1], [7, 14, 1]]"
184,2,7,18,0,True,"[[7, 18, 0], [7, 18, 0]]"
185,2,7,18,1,True,"[[7, 18, 1], [7, 18, 1]]"
186,2,7,18,2,True,"[[7, 18, 2], [7, 18, 2]]"
187,2,7,21,0,True,"[[7, 21, 0], [7, 21, 0]]"
188,2,7,21,1,True,"[[7, 21, 1], [7, 21, 1]]"
189,2,7,21,2,True,"[[7, 21, 2], [7, 21, 2]]"
190,2,7,25,0,True,"[[7, 25, 0], [7, 25, 0]]"
191,2,7,25,1,True,"[[7, 25, 1], [7, 25, 1]]"
192,2,7,25,2,True,"[[7, 25, 2], [7, 25, 2]]"
193,2,7,25,3,True,"[[7, 25, 3], [7, 25, 3]]"
194,3,1,4,0,True,"[[1, 4, 0], [1, 4, 0], [1, 4, 0]]"
195,3,1,4,1,True,"[[1, 4, 1], [1, 4, 1], [1, 4, 1]]"
196,3,1,4,2,True,"[[1, 4, 2], [1, 4, 2], [1, 4, 2]]"
197,3,1,4,3,True,"[[1, 4, 3], [1, 4, 3], [1, 4, 3]]"
198,3,1,7,0,True,"[[1, 7, 0], [1, 7, 0], [1, 7, 0]]"
199,3,1,7,1,True,"[[1, 7, 1], [1, 7, 1], [1, 7, 1]]"
200,3,1,7,2,True,"[[1, 7, 2], [1, 7, 2], [1, 7, 2]]"
201,3,1,7,3,True,"[[1, 7, 3], [1, 7, 3], [1, 7, 3]]"
202,3,1,7,4,True,"[[1, 7, 4], [1, 7, 4], [1, 7, 4]]"
203,3,1,7,5,True,"[[1, 7, 5], [1, 7, 5], [1, 7, 5]]"
204,3,1,11,0,True,"[[1, 11, 0], [1, 11, 0], [1, 11, 0]]"
205,3,1,11,1,True,"[[1, 11, 1], [1, 11, 1], [1, 11, 1]]"
206,3,1,11,2,True,"[[1, 11, 2], [1, 11, 2], [1, 11, 2]]"
207,3,1,11,3,True,"[[1, 11, 3], [1, 11, 3], [1, 11, 3]]"
208,3,1,11,4,True,"[[1, 11, 4], [1, 11, 4], [1, 11, 4]]"
209,3,1,11,5,True,"[[1, 11, 5], [1, 11, 5], [1, 11, 5]]"
210,3,1,14,0,True,"[[1, 14, 0], [1, 14, 0], [1, 14, 0]]"
211,3,1,14,1,True,"[[1, 14, 1], [1, 14, 1], [1, 14, 1]]"
212,3,1,14,2,True,"[[1, 14, 2], [1, 14, 2], [1, 14, 2]]"
213,3,1,14,3,True,"[[1, 14, 3], [1, 14, 3], [1, 14, 3]]"
214,3,1,14,4,True,"[[1, 14, 4], [1, 14, 4], [1, 14, 4]]"
215,3,1,14,5,True,"[[1, 14, 5], [1, 14, 5], [1, 14, 5]]"
216,3,1,18,0,True,"[[1, 18, 0], [1, 18, 0], [1, 18, 0]]"
217,3,1,18,1,True,"[[1, 18, 1], [1, 18, 1], [1, 18, 1]]"
218,3,1,18,2,True,"[[1, 18, 2], [1, 18, 2], [1, 18, 2]]"
219,3,1,18,3,True,"[[1, 18, 3], [1, 18, 3], [1, 18, 3]]"
220,3,1,18,4,True,"[[1, 18, 4], [1, 18, 4], [1, 18, 4]]"
221,3,1,18,5,True,"[[1, 18, 5], [1, 18, 5], [1, 18, 5]]"
222,3,1,21,0,True,"[[1, 21, 0], [1, 21, 0], [1, 21, 0]]"
223,3,1,21,1,True,"[[1, 21, 1], [1, 21, 1], [1, 21, 1]]"
224,3,1,21,2,True,"[[1, 21, 2], [1, 21, 2], [1, 21, 2]]"
225,3,1,21,3,True,"[[1, 21, 3], [1, 21, 3], [1, 21, 3]]"
226,3,1,21,4,True,"[[1, 21, 4], [1, 21, 4], [1, 21, 4]]"
227,3,1,21,5,True,"[[1, 21, 5], [1, 21, 5], [1, 21, 5]]"
228,3,1,25,0,True,"[[1, 25, 0], [1, 25, 0], [1, 25, 0]]"
229,3,1,25,1,True,"[[1, 25, 1], [1, 25, 1], [1, 25, 1]]"
230,3,1,25,2,True,"[[1, 25, 2], [1, 25, 2], [1, 25, 2]]"
231,3,1,25,3,True,"[[1, 25, 3], [1, 25, 3], [1, 25, 3]]"
232,3,1,25,4,True,"[[1, 25, 4], [1, 25, 4], [1, 25, 4]]"
233,3,1,25,5,True,"[[1, 25, 5], [1, 25, 5], [1, 25, 5]]"
234,3,2,4,0,True,"[[2, 4, 0], [2, 4, 0], [2, 4, 0]]"
235,3,2,4,1,True,"[[2, 4, 1], [2, 4, 1], [2, 4, 1]]"
236,3,2,7,0,True,"[[2, 7, 0], [2, 7, 0], [2, 7, 0]]"
237,3,2,7,1,True,"[[2, 7, 1], [2, 7, 1], [2, 7, 1]]"
238,3,2,7,2,True,"[[2, 7, 2], [2, 7, 2], [2, 7, 2]]"
239,3,2,7,3,True,"[[2, 7, 3], [2, 7, 3], [2, 7, 3]]"
